card,store,quantity,value
jungle hollow,Livraria do Infinito - MagicJebb,2,1.80
jungle hollow,Livraria do Infinito - MagicJebb,3,0.43
jungle hollow,Livraria do Infinito - MagicJebb,4,0.14
jungle hollow,Livraria do Infinito - MagicJebb,4,0.09
"hapatra, vizier of poisons",Pi Games,1,9.99
"hapatra, vizier of poisons",Cards Of Paradise,29,4.75
"hapatra, vizier of poisons",Cards Of Paradise,3,4.75
"hapatra, vizier of poisons",Cards Of Paradise,2,9.75
"hapatra, vizier of poisons",Cards Of Paradise,2,4.75
obelisk spider,Cards Of Paradise,17,1.75
obelisk spider,Cards Of Paradise,5,1.75
obelisk spider,Cards Of Paradise,2,6.00
crocodile of the crossing,Tokenlandia Cards,3,2.99
obelisk spider,Ilusões Industriais,1,0.50
lethal sting,TCGeeK,55,0.50
lethal sting,TCGeeK,1,2.00
lethal sting,Konklave FunStore,1,2.00
lethal sting,Konklave FunStore,4,0.40
banewhip punisher,Medieval Cards,9,0.50
banewhip punisher,Medieval Cards,1,1.50
banewhip punisher,Medieval Cards,1,2.00
banewhip punisher,Medieval Cards,1,2.00
decimator beetle,Elder Dragon Brasil,2,0.38
forest,TCGeeK,51,2.00
forest,TCGeeK,32,0.50
forest,TCGeeK,19,0.50
forest,TCGeeK,16,0.50
forest,TCGeeK,4,10.00
forest,TCGeeK,3,16.00
forest,TCGeeK,2,10.00
forest,TCGeeK,2,0.50
forest,TCGeeK,2,0.50
forest,TCGeeK,1,4.50
forest,TCGeeK,1,35.00
forest,TCGeeK,1,675.00
forest,TCGeeK,1,35.20
decimator beetle,Miragem Hobby,15,0.49
decimator beetle,Miragem Hobby,1,1.49
swamp,TCGeeK,42,0.50
swamp,TCGeeK,21,2.00
swamp,TCGeeK,11,15.00
swamp,TCGeeK,7,0.50
swamp,TCGeeK,6,6.40
swamp,TCGeeK,4,7.20
swamp,TCGeeK,4,10.00
swamp,TCGeeK,4,0.50
swamp,TCGeeK,3,18.00
swamp,TCGeeK,2,0.50
swamp,TCGeeK,2,10.00
swamp,TCGeeK,2,25.60
swamp,TCGeeK,2,2.00
swamp,TCGeeK,2,18.00
swamp,TCGeeK,1,28.80
swamp,TCGeeK,1,12.80
swamp,TCGeeK,1,2.50
swamp,TCGeeK,1,450.00
forest,Cards Of Paradise,404,16.75
forest,Cards Of Paradise,108,0.75
forest,Cards Of Paradise,26,0.50
forest,Cards Of Paradise,14,0.50
forest,Cards Of Paradise,13,0.50
forest,Cards Of Paradise,11,9.75
forest,Cards Of Paradise,4,0.50
forest,Cards Of Paradise,4,9.75
forest,Cards Of Paradise,2,9.75
forest,Cards Of Paradise,2,14.75
forest,Cards Of Paradise,2,1.00
forest,Cards Of Paradise,2,299.75
forest,Cards Of Paradise,2,1.00
forest,Cards Of Paradise,2,1.00
forest,Cards Of Paradise,1,7.75
forest,Cards Of Paradise,1,1.25
forest,Cards Of Paradise,1,4.75
forest,Bazar de Bagdá,55,14.99
forest,Bazar de Bagdá,24,11.99
forest,Bazar de Bagdá,12,24.99
forest,Bazar de Bagdá,9,39.99
forest,Bazar de Bagdá,8,19.99
forest,Bazar de Bagdá,6,49.99
forest,Bazar de Bagdá,3,0.75
forest,Bazar de Bagdá,2,44.99
forest,Bazar de Bagdá,2,24.99
forest,Bazar de Bagdá,1,259.99
